date,fire_count,total_frp,burned_area,fire_anomaly,frp_anomaly,burn_anomaly,co,no2,aerosol_index,co_anomaly,no2_anomaly,ai_anomaly,blh,wind_speed,temp_2m,rh,precip,year,blh_anomaly,ws_anomaly
2021-10-23,267.0,24630.0,4996.099048124693,265.6549662487946,24149.749533911927,4995.392212312101,0.0352661257373456,4.795298434985943e-05,0.2559308226402657,-0.0013994183659621,3.331465920280567e-08,0.8364241468761427,798.4,2.64,22.7,63.9,2.43,2021,-751.6,-1.26
2021-10-24,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0339039305503128,4.964160532079877e-05,-0.2555174286685395,-0.002761613552995,1.7219356301421485e-06,0.3249758955673377,822.5,2.84,23.5,61.3,0.0,2021,-727.5,-1.06
2021-10-25,7.0,373.0,4996.099048124693,5.6549662487946,-107.25046608807456,4995.392212312101,0.034435591351003,5.464183092147155e-05,-0.2907657522493203,-0.0022299527523048,6.722161230814929e-06,0.2897275719865569,860.7,2.1,26.8,73.5,0.0,2021,-689.3,-1.8
2021-10-26,27.0,7310.0,4996.099048124693,25.6549662487946,6829.749533911925,4995.392212312101,0.0350556982187383,5.835598121221636e-05,0.2059191428807581,-0.0016098458845694,1.0436311521559731e-05,0.7864124671166354,879.8,3.38,29.2,58.9,0.0,2021,-670.2,-0.52
2021-10-27,11.0,804.0,4996.099048124693,9.6549662487946,323.7495339119254,4995.392212312101,0.0393724290166208,6.374311687884275e-05,0.7749138667217952,0.0027068849133129,1.5823447188186133e-05,1.3554071909576726,896.6,2.56,25.5,54.0,0.0,2021,-653.4,-1.34
2021-10-28,71.0,13184.0,4996.099048124693,69.6549662487946,12703.749533911923,4995.392212312101,0.0407544417700072,6.564700052316066e-05,0.7215031656384695,0.0040888976666994,1.772733083250404e-05,1.3019964898743468,781.6,2.79,24.3,77.5,0.0,2021,-768.4,-1.11
2021-10-29,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0446127706690915,6.476739562178235e-05,0.3071087711031678,0.0079472265657836,1.6847725931125724e-05,0.887602095339045,824.5,3.05,26.0,55.2,0.0,2021,-725.5,-0.85
2021-10-30,147.55686274509804,16653.858823529412,4996.099048124693,146.21182899389265,16173.608357441335,4995.392212312101,0.0391707251192804,6.219041953921846e-05,-0.0208329271282057,0.0025051810159726,1.427074984856184e-05,0.5596603971076715,797.2,2.49,25.6,73.2,0.0,2021,-752.8,-1.41
2021-10-31,0.0,0.0,4996.099048124693,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.0430033879811851,6.315197493993935e-05,0.2534282391139396,0.0063378438778773,1.5232305249282723e-05,0.8339215633498168,752.4,2.65,25.6,57.6,0.0,2021,-797.6,-1.25
2021-11-01,177.14117647058822,15362.058823529413,16089.19792729914,175.79614271938283,14881.808357441338,16088.491091486549,0.0431606747212926,6.690640550329744e-05,0.9781949579625748,0.0064951306179848,1.898673581264082e-05,1.558688282198452,418.5,2.55,17.3,60.8,0.0,2021,-1131.5,-1.35
